character,attributes
hatsune_miku_(vocaloid),"1girl, small_breasts, twintails, collarbone, double-parted_bangs, necktie, shirt, skirt, aqua_necktie, detached_sleeves, boots, black_sleeves"
hakurei_reimu_(touhou),"1girl, bow, frills, hair_bow, frilled_bow, red_bow, detached_sleeves, ascot, ribbon_trim, ribbon-trimmed_sleeves, skirt, yellow_ascot"
kirisame_marisa_(touhou),"1girl, bow, braid, hat, single_braid, witch_hat, side_braid, hair_bow, hat_bow, white_bow, apron, black_hat"
flandre_scarlet_(touhou),"1girl, wings, crystal_wings, hat, shirt, multicolored_wings, white_hat, white_shirt, skirt, ascot, red_skirt, yellow_ascot"
remilia_scarlet_(touhou),"1girl, wings, bat_wings, hat, shirt, ribbon, ascot, hat_ribbon, red_ascot, short_sleeves, skirt, frills"
izayoi_sakuya_(touhou),"1girl, large_breasts, medium_breasts, maid_headdress, braid, twin_braids, bow, apron, hair_bow, dress, short_sleeves, green_bow"
artoria_pendragon_(fate),"1girl, large_breasts, medium_breasts, braid, dress, ribbon, long_sleeves, cleavage, hair_ribbon, bow, bun_with_braided_base, puffy_sleeves"
komeiji_koishi_(touhou),"1girl, hat, shirt, frills, black_hat, yellow_shirt, long_sleeves, bow, buttons, hat_bow, skirt, yellow_bow"
kochiya_sanae_(touhou),"1girl, large_breasts, detached_sleeves, skirt, blue_skirt, shirt, white_shirt, frills, wide_sleeves, cleavage, sleeveless_shirt, frilled_skirt"
konpaku_youmu_(touhou),"1girl, shirt, skirt, bow, white_shirt, bowtie, black_bow, black_bowtie, green_skirt, collared_shirt, skirt_set, short_sleeves"
cirno_(touhou),"1girl, bow, blue_bow, hair_bow, wings, ice_wings, dress, short_sleeves, shirt, blue_dress, white_shirt, sleeveless_dress"
admiral_(kancolle),"1girl, medium_breasts, large_breasts, shirt, skirt, long_sleeves, gloves, pleated_skirt, hat, ponytail, sailor_collar, military_uniform"
alice_margatroid_(touhou),"1girl, large_breasts, medium_breasts, frills, dress, capelet, blue_dress, white_capelet, sash, boots, short_sleeves, bow"
patchouli_knowledge_(touhou),"1girl, large_breasts, hat, dress, crescent_hat_ornament, hat_ornament, bow, hair_bow, pink_hat, blue_bow, red_bow, striped_dress"
yakumo_yukari_(touhou),"1girl, large_breasts, ribbon, hat, dress, hat_ribbon, bow, hair_bow, red_ribbon, red_bow, white_hat, white_dress"
sensei_(blue_archive),"1girl, 1boy, large_breasts, huge_breasts, shirt, white_shirt, skirt, long_sleeves, bow, horns, jacket, collared_shirt"
shameimaru_aya_(touhou),"1girl, large_breasts, hat, tokin_hat, shirt, white_shirt, red_hat, skirt, wings, short_sleeves, black_skirt, collared_shirt"
reisen_udongein_inaba_(touhou),"1girl, large_breasts, animal_ears, rabbit_ears, shirt, white_shirt, necktie, skirt, jacket, red_necktie, collared_shirt, long_sleeves"
komeiji_satori_(touhou),"1girl, small_breasts, shirt, frills, blue_shirt, long_sleeves, skirt, buttons, collared_shirt, frilled_shirt_collar, frilled_sleeves, pink_skirt"
fujiwara_no_mokou_(touhou),"1girl, large_breasts, bow, hair_bow, shirt, pants, red_pants, white_shirt, collared_shirt, long_sleeves, multiple_hair_bows, white_bow"
akemi_homura_(mahou_shoujo_madoka_magica),"1girl, bow, skirt, dress, ribbon, red_bow, long_sleeves, bowtie, frills, gloves, school_uniform, black_dress"
